OMO,Address,COAFile,PossibleITBMatch,MatchType
"EQ15356","3044 WALLACE AVENUE, 10467","EQ15356_122725060408.pdf","G:\My Drive\HPD_Bid_Management_Project\Scripts\Diagnostics script\COA_Downloads_V5\EQ15356_122725060408.pdf","FILENAME_OMO_MATCH"
"EQ15356","3044 WALLACE AVENUE, 10467","EQ15356_122725060408.pdf","G:\My Drive\HPD_Bid_Management_Project\Scripts\Diagnostics script\COA_Downloads_V5\EQ15356_122725060408 (1).pdf","FILENAME_OMO_MATCH"
"EQ14519","2265 OLINVILLE AVENUE, 10467","EQ14519_122725053606.pdf","G:\My Drive\HPD_Bid_Management_Project\Scripts\Diagnostics script\ITB_Downloads_V5\EQ14519_122325040214.pdf","FILENAME_OMO_MATCH"
"EQ14519","2265 OLINVILLE AVENUE, 10467","EQ14519_122725053606.pdf","G:\My Drive\HPD_Bid_Management_Project\Scripts\Diagnostics script\ITB_Downloads_V5\EQ14519_122325040214 (1).pdf","FILENAME_OMO_MATCH"
"EQ14519","2265 OLINVILLE AVENUE, 10467","EQ14519_122725053606.pdf","G:\My Drive\HPD_Bid_Management_Project\Scripts\Diagnostics script\COA_Downloads_V5\EQ14519_122725053606.pdf","FILENAME_OMO_MATCH"
"EQ14519","2265 OLINVILLE AVENUE, 10467","EQ14519_122725053606.pdf","G:\My Drive\HPD_Bid_Management_Project\Scripts\Diagnostics script\COA_Downloads_V5\EQ14519_122725053606 (1).pdf","FILENAME_OMO_MATCH"
"EQ15398","389 CHAUNCEY STREET, 11233","EQ15398_122625054715.pdf","G:\My Drive\HPD_Bid_Management_Project\Scripts\Diagnostics script\ITB_Downloads_V5\EQ15398_122325042920.pdf","FILENAME_OMO_MATCH"
"EQ15398","389 CHAUNCEY STREET, 11233","EQ15398_122625054715.pdf","G:\My Drive\HPD_Bid_Management_Project\Scripts\Diagnostics script\ITB_Downloads_V5\EQ15398_122325042920 (1).pdf","FILENAME_OMO_MATCH"
"EQ15398","389 CHAUNCEY STREET, 11233","EQ15398_122625054715.pdf","G:\My Drive\HPD_Bid_Management_Project\Scripts\Diagnostics script\COA_Downloads_V5\EQ15398_122625054715.pdf","FILENAME_OMO_MATCH"
"EQ15398","389 CHAUNCEY STREET, 11233","EQ15398_122625054715.pdf","G:\My Drive\HPD_Bid_Management_Project\Scripts\Diagnostics script\COA_Downloads_V5\EQ15398_122625054715 (1).pdf","FILENAME_OMO_MATCH"
"EQ14614","86-02 FOREST PARKWAY, 11421","EQ14614_122625054516.pdf","G:\My Drive\HPD_Bid_Management_Project\Scripts\Diagnostics script\ITB_Downloads_V5\EQ14614_122325042645.pdf","FILENAME_OMO_MATCH"
"EQ14614","86-02 FOREST PARKWAY, 11421","EQ14614_122625054516.pdf","G:\My Drive\HPD_Bid_Management_Project\Scripts\Diagnostics script\ITB_Downloads_V5\EQ14614_122325042645 (1).pdf","FILENAME_OMO_MATCH"
"EQ14614","86-02 FOREST PARKWAY, 11421","EQ14614_122625054516.pdf","G:\My Drive\HPD_Bid_Management_Project\Scripts\Diagnostics script\COA_Downloads_V5\EQ14614_122625054516.pdf","FILENAME_OMO_MATCH"
"EQ14614","86-02 FOREST PARKWAY, 11421","EQ14614_122625054516.pdf","G:\My Drive\HPD_Bid_Management_Project\Scripts\Diagnostics script\COA_Downloads_V5\EQ14614_122625054516 (1).pdf","FILENAME_OMO_MATCH"
"EQ06352","698 AMSTERDAM AVENUE, 10025","EQ06352_122625123940.pdf","G:\My Drive\HPD_Bid_Management_Project\Scripts\Diagnostics script\ITB_Downloads_V5\EQ06352_122425105414.pdf","FILENAME_OMO_MATCH"
"EQ06352","698 AMSTERDAM AVENUE, 10025","EQ06352_122625123940.pdf","G:\My Drive\HPD_Bid_Management_Project\Scripts\Diagnostics script\ITB_Downloads_V5\EQ06352_122425105414 (1).pdf","FILENAME_OMO_MATCH"
"EQ06352","698 AMSTERDAM AVENUE, 10025","EQ06352_122625123940.pdf","G:\My Drive\HPD_Bid_Management_Project\Scripts\Diagnostics script\COA_Downloads_V5\EQ06352_122625123940.pdf","FILENAME_OMO_MATCH"
"EQ06352","698 AMSTERDAM AVENUE, 10025","EQ06352_122625123940.pdf","G:\My Drive\HPD_Bid_Management_Project\Scripts\Diagnostics script\COA_Downloads_V5\EQ06352_122625123940 (1).pdf","FILENAME_OMO_MATCH"
