OMO,Address,COAFile,RecoveredITBFile,RecoveredITBPath
"EQ15719","503 WEST 158 STREET, 10032","EQ15719_010526044109.pdf","EQ15719_123125044907.pdf","G:\My Drive\HPD_Bid_Management_Project\Scripts\Diagnostics script\ITB_Downloads_V5\EQ15719_123125044907.pdf"
"EQ15750","1252 EAST 53 STREET, 11234","EQ15750_010526040421.pdf","EQ15750_010226033447.pdf","G:\My Drive\HPD_Bid_Management_Project\Scripts\Diagnostics script\ITB_Downloads_V5\EQ15750_010226033447.pdf"
"EQ15766","263 14 STREET, 11215","EQ15766_010326060312.pdf","EQ15766_123125110417.pdf","G:\My Drive\HPD_Bid_Management_Project\Scripts\Diagnostics script\ITB_Downloads_V5\EQ15766_123125110417.pdf"
"EQ15867","14-20 114 STREET, 11356","EQ15867_011326045118.pdf","EQ15867_011226030825.pdf","G:\My Drive\HPD_Bid_Management_Project\Scripts\Diagnostics script\ITB_Downloads_V5\EQ15867_011226030825.pdf"
"EQ16164","2358 WEBSTER AVENUE, 10458","EQ16164_010626010542.pdf","EQ16164_010226041542.pdf","G:\My Drive\HPD_Bid_Management_Project\Scripts\Diagnostics script\ITB_Downloads_V5\EQ16164_010226041542.pdf"
"EQ16592","101-17 115 STREET, 11419","EQ16592_011526110925.pdf","EQ16592_010826042739.pdf","G:\My Drive\HPD_Bid_Management_Project\Scripts\Diagnostics script\ITB_Downloads_V5\EQ16592_010826042739.pdf"
"EQ16597","178 AMBOY STREET, 11212","EQ16597_011326031757.pdf","EQ16597_011226051130.pdf","G:\My Drive\HPD_Bid_Management_Project\Scripts\Diagnostics script\ITB_Downloads_V5\EQ16597_011226051130.pdf"
"EQ16619","278 EAST 237 STREET, 10470","EQ16619_011426043109.pdf","EQ16619_011226112216.pdf","G:\My Drive\HPD_Bid_Management_Project\Scripts\Diagnostics script\ITB_Downloads_V5\EQ16619_011226112216.pdf"
"EQ16693","41-08 42 STREET, 11104","EQ16693_011426023824.pdf","EQ16693_011226034718.pdf","G:\My Drive\HPD_Bid_Management_Project\Scripts\Diagnostics script\ITB_Downloads_V5\EQ16693_011226034718.pdf"
"EQ16744","70 AVENUE U, 11223","EQ16744_011326043209.pdf","EQ16744_011226112544.pdf","G:\My Drive\HPD_Bid_Management_Project\Scripts\Diagnostics script\ITB_Downloads_V5\EQ16744_011226112544.pdf"
"EQ16822","1881 STARR STREET, 11385","EQ16822_011426042615.pdf","EQ16822_011226040820.pdf","G:\My Drive\HPD_Bid_Management_Project\Scripts\Diagnostics script\ITB_Downloads_V5\EQ16822_011226040820.pdf"
"EQ16892","1274 55 STREET, 11219","EQ16892_011326045343.pdf","EQ16892_011226112406.pdf","G:\My Drive\HPD_Bid_Management_Project\Scripts\Diagnostics script\ITB_Downloads_V5\EQ16892_011226112406.pdf"
"EQ17241","390 MARYLAND AVENUE, 10305","EQ17241_012926094525.pdf","EQ17241_012326043925.pdf","G:\My Drive\HPD_Bid_Management_Project\Scripts\Diagnostics script\ITB_Downloads_V5\EQ17241_012326043925.pdf"
"EQ17262","708 MANHATTAN AVENUE, 11222","EQ17262_012726013759.pdf","EQ17262_012226101215.pdf","G:\My Drive\HPD_Bid_Management_Project\Scripts\Diagnostics script\ITB_Downloads_V5\EQ17262_012226101215.pdf"
"EQ17786","184 BRADHURST AVENUE, 10039","EQ17786_012626110317.pdf","EQ17786_012126094156.pdf","G:\My Drive\HPD_Bid_Management_Project\Scripts\Diagnostics script\ITB_Downloads_V5\EQ17786_012126094156.pdf"
"EQ17854","1084 NEW YORK AVENUE, 11203","EQ17854_012926111526.pdf","EQ17854_012326041709.pdf","G:\My Drive\HPD_Bid_Management_Project\Scripts\Diagnostics script\ITB_Downloads_V5\EQ17854_012326041709.pdf"
"EQ18038","1353 STERLING PLACE, 11213","EQ18038_012726111834.pdf","EQ18038_012326030515.pdf","G:\My Drive\HPD_Bid_Management_Project\Scripts\Diagnostics script\ITB_Downloads_V5\EQ18038_012326030515.pdf"
